,Name,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
0,Andrew Moran,€3.00m,"May 24, 2024","Oct 15, 2003",20,1.77,Ireland,[],Attacking Midfield,,Brighton,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1,Sandro Tonali,€38.00m,"May 27, 2024","May 8, 2000",24,1.81,Italy,[],Defensive Midfield,,Newcastle,,,"Jul 3, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
2,Rodrigo Gomes,€12.00m,"Jun 6, 2024","Jul 7, 2003",21,1.75,Portugal,[],Right-Back,,Wolves,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
3,Luke Harris,€1.00m,"Dec 19, 2023","Mar 4, 2005",19,1.77,Wales,[],Attacking Midfield,,Fulham,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
4,Timothy Castagne,€17.00m,"May 27, 2024","Dec 5, 1995",28,1.85,Belgium,['Belgium'],Right-Back,"                0
0  Right Midfield
1       Left-Back",Fulham,,,"Aug 29, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
5,Jhon Durán,€20.00m,"May 27, 2024","Dec 13, 2003",20,1.85,Colombia,[],Centre-Forward,,Aston Villa,,,"Jan 23, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
6,Fabian Schär,€10.00m,"May 27, 2024","Dec 20, 1991",32,1.86,Switzerland,[],Centre-Back,,Newcastle,,,"Jul 26, 2018","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
7,Sasa Kalajdzic,€5.00m,"May 29, 2024","Jul 7, 1997",27,2.0,Austria,[],Centre-Forward,,Wolves,,,"Aug 31, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
8,Victor Kristiansen,€15.00m,"Jun 5, 2024","Dec 16, 2002",21,1.81,Denmark,['Denmark'],Left-Back,,Leicester,,,"Jan 20, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
9,James Hill,€2.00m,"May 27, 2024","Jan 10, 2002",22,1.84,England,[],Centre-Back,,Bournemouth,,,"Jan 5, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
10,Nathan Collins,€25.00m,"May 27, 2024","Apr 30, 2001",23,1.93,Ireland,['Ireland'],Centre-Back,,Brentford,,,"Jul 4, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
11,Jeremy Sarmiento,€4.50m,"May 24, 2024","Jun 16, 2002",22,1.78,Ecuador,[],Left Winger,,Brighton,,,"Jul 2, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
12,Timothy Castagne,€17.00m,"May 27, 2024","Dec 5, 1995",28,1.85,Belgium,[],Right-Back,,Fulham,,,"Aug 29, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
13,Pau Torres,€45.00m,"May 27, 2024","Jan 16, 1997",27,1.92,Spain,['Spain'],Centre-Back,,Aston Villa,,,"Jul 12, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
14,Rob Holding,€5.00m,"May 27, 2024","Sep 20, 1995",28,1.89,England,['England'],Centre-Back,"            0
0  Right-Back",Crystal Palace,,,"Sep 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
15,Abdoulaye Doucouré,€10.00m,"May 27, 2024","Jan 1, 1993",31,1.83,Mali,"['France', 'Mali']",Central Midfield,"                    0
0  Defensive Midfield
1  Attacking Midfield",Everton,,,"Sep 8, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
16,Mason Holgate,€5.00m,"May 27, 2024","Oct 22, 1996",27,1.87,England,"['England', 'Jamaica']",Centre-Back,"            0
0  Right-Back",Everton,,,"Aug 13, 2015","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
17,Marcus Bettinelli,€1.00m,"May 27, 2024","May 24, 1992",32,1.93,England,"['England', 'Italy']",Goalkeeper,,Chelsea,,,"Jul 28, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
18,Aaron Ramsdale,€25.00m,"May 27, 2024","May 14, 1998",26,1.9,England,['England'],Goalkeeper,,Arsenal,,,"Aug 20, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
19,Maxwel Cornet,€9.00m,"May 27, 2024","Sep 27, 1996",27,1.79,Cote d'Ivoire,"['France', ""Cote d'Ivoire""]",Left Winger,"                0
0    Right Winger
1  Centre-Forward",West Ham,,,"Aug 5, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
20,Scott McTominay,€32.00m,"May 27, 2024","Dec 8, 1996",27,1.91,Scotland,"['England', 'Scotland']",Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Man Utd,,,"Jul 1, 2017","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
21,Gabriel Magalhães,€70.00m,"May 27, 2024","Dec 19, 1997",26,1.9,Brazil,['Brazil'],Centre-Back,,Arsenal,,,"Sep 1, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
22,Murillo,€35.00m,"May 27, 2024","Jul 4, 2002",22,1.84,Brazil,['Brazil'],Centre-Back,,Nottm Forest,,,"Aug 31, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
23,Daniel Muñoz,€18.00m,"May 27, 2024","May 26, 1996",28,1.81,Colombia,['Colombia'],Right-Back,"             0
0  Centre-Back",Crystal Palace,,,"Jan 30, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
24,Hákon Rafn Valdimarsson,€2.50m,"May 27, 2024","Oct 13, 2001",22,1.95,Iceland,['Iceland'],Goalkeeper,,Brentford,,,"Jan 26, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
